DATA,TIPO_REFEICAO,QNT_BOLSISTAS,QNT_FUNCIONARIOS,VAL_FUNCIONARIOS,QNT_ALUNOS,VAL_ALUNOS,QNT_TOTAL,VAL_TOTAL,DIA_SEMANA,DEMANDA
2024-04-29,jantar,93,1,15.15,743,2229,837,2244.15,1,BAIXA
2024-04-30,jantar,84,0,0,731,2193,815,2193,2,BAIXA
2024-05-02,jantar,64,0,0,574,1722,638,1722,4,BAIXA
2024-05-03,jantar,59,0,0,526,1578,585,1578,5,BAIXA
2024-05-06,jantar,58,1,15.15,541,1623,600,1638.15,1,BAIXA
2024-05-07,jantar,55,1,15.15,481,1443,537,1458.15,2,BAIXA
2024-05-08,jantar,54,0,0,543,1629,597,1629,3,BAIXA
2024-05-09,jantar,44,1,15.15,453,1359,498,1374.15,4,BAIXA
2024-05-10,jantar,42,2,30.3,473,1419,517,1449.3,5,BAIXA
2024-05-13,jantar,49,2,30.3,512,1536,563,1566.3,1,BAIXA
2024-05-14,jantar,60,0,0,464,1392,524,1392,2,BAIXA
2024-05-15,jantar,57,1,15.15,531,1593,589,1608.15,3,BAIXA
2024-05-16,jantar,51,0,0,520,1560,571,1560,4,BAIXA
2024-05-17,jantar,61,0,0,464,1392,525,1392,5,BAIXA
2024-05-20,almoço,94,0,0,676,2028,770,2028,1,BAIXA
2024-05-20,jantar,123,0,0,1546,4638,1669,4638,1,NORMAL
2024-05-21,almoço,91,0,0,924,2772,1015,2772,2,NORMAL
2024-05-21,jantar,131,1,15.15,1469,4407,1601,4422.15,2,NORMAL
2024-05-22,almoço,96,0,0,842,2526,938,2526,3,NORMAL
2024-05-22,jantar,124,0,0,1391,4173,1515,4173,3,NORMAL
2024-05-23,almoço,85,0,0,730,2190,815,2190,4,NORMAL
2024-05-23,jantar,128,0,0,1341,4023,1469,4023,4,NORMAL
2024-05-24,almoço,70,0,0,527,1581,597,1581,5,NORMAL
2024-05-24,jantar,126,0,0,1238,3714,1364,3714,5,NORMAL
2024-05-25,jantar,88,0,0,680,2040,768,2040,6,NORMAL
